"id","slug","title","date","category","excerpt","image","image_alt","content_html","content_text","source_url","source_label","featured","published","tags"
"adaptivetrafficcontrol-smartcities-trafficengineering-urbanmobility-tom-mathew","adaptivetrafficcontrol-smartcities-trafficengineering-urbanmobility-tom-mathew","Adaptive and Connected Signal Control Workshop for Urban Traffic Management","2025-10-16","events","ðŸš¦ Workshop on Adaptive and Connected Signal Control Systems for Urban Traffic Management ðŸš¦

Prof. Tom Mathew, Department of Civil Engineering, Indian Institute of Technology, Bombay Bombay, organised an International Workshop on Adaptive and Connected Signal Control Systems for Urban Traffic Management on January 25, 2025. The workshop, sponsored under the IoE scheme of IIT Bombay, aimed to showcase current capabilities, challenges, and opportunities in adaptive and connected traffic signal control solutions including the field deployment experiences. The event featured presentations on five prominent adaptive traffic control systems (SCOOT, SCATS, CoSciCost, FAST, KAPSCH).

ðŸ“Š Event Highlights: Chief Guest: Mr. Manoj Patil, IPS, Additional Commissioner of Police, Pune. Speakers: Dr.Shankar Vishwanath (Mumbai Traffic Police), Dr. Roy Brown (SCATS, Australia), Mr. Christopher Kettell (TRL Software, UK), Prof. Sergio Batista (Imperial College London, UK), Mr. Satheesh G. (CDAC - Thiruvananthapuram),Â Dr. Rajesh Krishnan (ITS Planners and Engineers), Mr. Venkata Subbarao Chunduru (Arcadis-IBI Group), Mr. Bhushan Kubal (Brihanmumbai Municipal Corporation), Prof. P. Vedagiri (Dean of Planning, IIT Bombay), Prof. Gopal Patil and Prof. Tom Mathew (IIT Bombay)

About 120 delegates from Municipal corporations (Mumbai, Pune, Surat), Traffic Police (Mumbai, Pune), MeitYâ€“GoI, R&D organisations (CDAC, NATPAC), Industries (Arcadis, Onnyx, CMS, TRL), academic institutions (IIT Bombay, Delhi, Hyderabad, Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat). The technical presentations, interactions with the speakers and the panel discussions resulted in strategies to be adopted for a comprehensive and multidisciplinary approach to address urban traffic management challenges.
#AdaptiveTrafficControl #SmartCities #TrafficEngineering #UrbanMobility","https://media.licdn.com/dms/image/v2/D4D22AQGQT_G2PnzoZA/feedshare-shrink_800/B4DZSslBp8GcAk-/0/1738062177348?e=2147483647&amp;v=beta&amp;t=tYw94LDIu5jyzXn2B7vG6dqo2lY4BX_U0CgxKmfDlxM","Adaptive and Connected Signal Control Workshop for Urban Traffic Management","<p>Imported from <a href=""https://www.linkedin.com/posts/tom-mathew-52312a107_adaptivetrafficcontrol-smartcities-trafficengineering-activity-7289961151776358402-Jp-c"" target=""_blank"" rel=""noopener"">original post</a>.</p>","","https://www.linkedin.com/posts/tom-mathew-52312a107_adaptivetrafficcontrol-smartcities-trafficengineering-activity-7289961151776358402-Jp-c","View original source","FALSE","TRUE",""
"casequest2025-innovation-futureleaders-problemsolving-bitm-sangram-krishna-nirmale","casequest2025-innovation-futureleaders-problemsolving-bitm-sangram-krishna-nirmale","Prof. Sangram Nirmale Served as Jury Member at Case Quest 2.0","2025-10-16","events","Honored to be a Judge at Case Quest 2.0

I had the privilege of serving as one of the three Jury Members, alongside  Dr NAGENDRA V. CHOWDARY (Chief Education Officer, The ICFAI Group) and Mr. Santosh Ranjan (Managing Director, Knowledge Horizon India), at Case Quest 2.0.

Hosted at the Balaji Institute of Technology & Management (BITM) on 27th September 2025, the event brought together brilliant young minds to tackle real-world business and social challenges with creativity, analytical rigor, and teamwork. 

Congratulations to all the winners and heartfelt thanks to every participant who made this global event a grand success.

A special note of gratitude to Dr. Ritika Singh, Ph.D., for the kind invitation. 

#CaseQuest2025 #Innovation #FutureLeaders #ProblemSolving #BITM","https://media.licdn.com/dms/image/v2/D4D22AQHPbDhHuepgdA/feedshare-shrink_800/B4DZm1AptdJMAg-/0/1759678475035?e=2147483647&amp;v=beta&amp;t=to3StW8XtH4K77mXUOrx5FdxxKrf5u4DHLmn4byC53o","Prof. Sangram Nirmale Served as Jury Member at Case Quest 2.0","<p>Imported from <a href=""https://www.linkedin.com/posts/sangram-nirmale_casequest2025-innovation-futureleaders-activity-7380626476468961280-3Alj"" target=""_blank"" rel=""noopener"">original post</a>.</p>","","https://www.linkedin.com/posts/sangram-nirmale_casequest2025-innovation-futureleaders-activity-7380626476468961280-3Alj","View original source","FALSE","TRUE",""
"ctrg-2025-workshops-hands-on-learning","ctrg-2025-workshops-hands-on-learning","CTRG-2025 Workshops: Hands-on Learning","2025-10-16","events","This workshop will help to jump start research based on Naturalistic Driving Studies. Even automobile and insurance industries can be benefited from this workshop. Hope to meet and interact with many professionals and early carrier researchers in the workshop.","assets/iitb-hero.jpg","CTRG-2025 Workshops: Hands-on Learning","<p>Imported from <a href=""https://www.linkedin.com/posts/avijitmaji_ctrg2025-transportationresearch-workshops-activity-7378826767991656449-RNJa"" target=""_blank"" rel=""noopener"">original post</a>.</p>","","https://www.linkedin.com/posts/avijitmaji_ctrg2025-transportationresearch-workshops-activity-7378826767991656449-RNJa","View original source","FALSE","TRUE",""
"ctrg-2025-workshops","ctrg-2025-workshops","Workshops at CTRG-2025: Hands-on Learning in Transportation Research","2025-12-17","events","The 8th Conference of the Transportation Research Group of India features six workshops on road safety, pavements, ITS, and more.","assets/iitb-hero.jpg","Workshops at CTRG-2025: Hands-on Learning in Transportation Research","<p>The 8th Conference of the Transportation Research Group of India (CTRG-2025), scheduled for 17â€“20 December 2025 at IIT Guwahati, Assam, India, features six workshops focused on advancing transportation engineering topics such as road safety analysis, pavement structural analysis, intelligent transportation systems, academic writing, traffic signal control, and machine learning applications.</p>","","","","FALSE","TRUE",""
"stride-workshop-2025","stride-workshop-2025","International Workshop on Sustainable Transportation (STRIDE)","2025-02-06","events","Sponsored by IIT Bombay's Institute of Eminence Cell, the workshop focused on data-driven techniques for optimal transportation infrastructure.","assets/iitb-hero.jpg","International Workshop on Sustainable Transportation (STRIDE)","<p>The International Workshop on Sustainable Transportation through Research and Innovative DEsign (STRIDE), held on February 6-7, 2025, featured presentations by speakers from the USA, Thailand, and India on data-driven techniques and technologies for optimal transportation infrastructure.</p>","","","","TRUE","TRUE",""
"case-quest-2025","case-quest-2025","Prof. Sangram Nirmale Judges Case Quest 2.0 at BITM","2025-09-27","announcements","Prof. Sangram Nirmale served as a jury member at Case Quest 2.0, hosted by Balaji Institute of Technology & Management.","assets/sangram.jpeg","Prof. Sangram Nirmale Judges Case Quest 2.0 at BITM","<p>Prof. Sangram Nirmale, Assistant Professor at IIT Bombay, served as a jury member at Case Quest 2.0 on September 27, 2025, hosted by Balaji Institute of Technology & Management. The event brought together young minds to tackle real-world business and social challenges with creativity and analytical rigor.</p>","","","","FALSE","TRUE",""
"cep-demand-modelling-2025","cep-demand-modelling-2025","CEP Short Course on Transportation Systems and Demand Modelling","2025-07-01","events","A three-day course blending theory and practice with hands-on labs using R and QGIS for urban mobility challenges.","assets/iitb-hero.jpg","CEP Short Course on Transportation Systems and Demand Modelling","<p>A three-day Continuing Education Programme (CEP) short course on 'Transportation Systems and Demand Modelling: Theory and Practice' was conducted at IIT Bombay's Civil Engineering Department, covering travel demand analysis through theoretical sessions and hands-on labs with R and QGIS.</p>","","","","FALSE","TRUE",""
"iitb-racing-autonomous-2025","iitb-racing-autonomous-2025","IIT Bombay Racing Achieves Milestone in Autonomous Motorsport","2025-01-01","student-news","Secured 4th place at Formula Student AI 2025, first Indian team to complete dynamic event.","assets/iitb-hero.jpg","IIT Bombay Racing Achieves Milestone in Autonomous Motorsport","<p>IIT Bombay Racing Driverless achieved 4th place overall at the Formula Student AI 2025 event at Silverstone Circuit, UK, marking the first Indian team to complete a dynamic event with a 3rd-place Trackdrive performance.</p>","","","","FALSE","TRUE",""
"iitb-um-mou-2025","iitb-um-mou-2025","IIT Bombay Signs MoU with University of Michigan for Smart Mobility Research","2024-10-01","research","Advancing mobility research through global collaborations in connected, automated, and sustainable transport.","assets/iitb-hero.jpg","IIT Bombay Signs MoU with University of Michigan for Smart Mobility Research","<p>A Memorandum of Understanding (MoU) was signed between the University of Michigan and IIT Bombay for joint research in connected, automated, and sustainable mobility, following discussions at the University of Michigan Transportation Research Institute (UMTRI).</p>","","","","FALSE","TRUE",""
"adaptive-signal-workshop-2025","adaptive-signal-workshop-2025","Workshop on Adaptive and Connected Signal Control Systems","2025-01-25","events","International workshop showcasing adaptive traffic control systems like SCOOT and SCATS for urban management.","assets/iitb-hero.jpg","Workshop on Adaptive and Connected Signal Control Systems","<p>On January 25, 2025, IIT Bombay hosted an international workshop on adaptive and connected signal control systems, focusing on capabilities, challenges, and deployment of traffic solutions like SCOOT and SCATS.</p>","","","","FALSE","TRUE",""
